"order_id","amazon_id","flipkart_id","myntra_id","gender","location","product_category","quantity","coupan_status","ofline_spend","coupan_code","region","country","item_type","sales_channel","name","product","m_price","color","m_brand","category","f_price","stock_qty","f_ratings","f_brand","f_seller"
1,"A-1","F_1","M-1","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Australia and Oceania","Tuvalu","Baby Food","Offline","Khushal K Women Black Ethnic Motifs Printed Kurta with Palazzos & With Dupatta","Kurta, Palazzos, Dupatta",5099,"Black","Khushal K","Footwear","17148.74",109,"4","Nike","Laptop Hub"
2,"A-2","F_2","M-2","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Central America and the Caribbean","Grenada","Cereal","Online","InWeave Women Orange Solid Kurta with Palazzos & Floral Print Dupatta","Kurta, Palazzos, Floral Print Dupatta",5899,"Orange","InWeave","Smart Home Devices","116506.93",297,"3.3","Amazon","Audio World"
3,"A-3","F_3","M-3","M","Chicago","Nest-USA","2","Not Used",4500,"ELEC10","Europe","Russia","Office Supplies","Offline","Anubhutee Women Navy Blue Ethnic Motifs Embroidered Thread Work Kurta with Trousers & With Dupatta","Kurta, Trousers, Dupatta",4899,"Navy Blue","Anubhutee","Cameras","9940.69",297,"4","Canon","Sports Zone"
4,"A-4","F_4","M-4","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","Sao Tome and Principe","Fruits","Online","Nayo Women Red Floral Printed Kurta With Trouser & Dupatta","Kurta, Trouser, Dupatta",3699,"Red","Nayo","Mobile Phones","12067.76",385,"3.8","Apple","XYZ Electronics"
5,"A-5","F_5","M-5","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","Rwanda","Office Supplies","Offline","AHIKA Women Black & Green Printed Straight Kurta","Kurta",1350,"Black","AHIKA","Footwear","73951.13",195,"4.8","Nike","TV World"
6,"A-6","F_6","M-6","M","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Australia and Oceania","Solomon Islands","Baby Food","Online","Libas Women Navy Blue Pure Cotton Floral Print Kurta with Palazzos & Dupatta","Kurta, Palazzos, Dupatta",3599,"Navy Blue","Libas","Televisions","107595.7",123,"3.3","Samsung","Sports Zone"
7,"A-7","F_7","M-7","Male","Chicago","Nest-USA","2","Clicked",4500,"ELEC10","Sub-Saharan Africa","Angola","Household","Offline","Ahalyaa Women Beige Floral Printed Regular Gotta Patti Kurta with Palazzos & With Dupatta","Kurta, Palazzos, Dupatta",6000,"Beige","Ahalyaa","Mobile Phones","106010.22",914,"3.2","Samsung","ABC Retailers"
8,"A-8","F_8","M-8","M","Chicago","Nest-USA","2","Not Used",4500,"ELEC10","Sub-Saharan Africa","Burkina Faso","Vegetables","Online","Anouk Women Yellow & White Printed Kurta with Palazzos","Kurta, Palazzos",1999,"Yellow","Anouk","Wearable Technology","119185.56",619,"3.4","Fitbit","ABC Retailers"
9,"A-9","F_9","M-9","M","Chicago","Nest-USA","1","Used",4500,"ELEC10","Sub-Saharan Africa","Republic of the Congo","Personal Care","Offline","Khushal K Women Green & Pink Printed Pure Cotton Kurta with Palazzos & Dupatta","Kurta, Palazzos, Dupatta",5299,"Green","Khushal K","Cameras","39553.25",831,"3.8","Canon","XYZ Electronics"
10,"A-10","F_10","M-10","Male","Chicago","Nest-USA","1","Clicked",4500,"ELEC10","Sub-Saharan Africa","Senegal","Cereal","Online","Libas Floral Bliss Side Pocket Cotton Kurta Set","Kurta Set",2499,"Pink","Libas","Televisions","19166.86",230,"4.3","Samsung","Camera Store"
